# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
C1X11,SMD,10uf,0603-CAP,10uf-0603-cap,6.35,73.66,180.00,-180.00
C1X21,SMD,10uf,0603-CAP,10uf-0603-cap,56.35,73.66,180.00,-180.00
C2X11,SMD,100uf,PANASONIC_D,100uf-panasonic_d,5.08,59.69,270.00,90.00
C2X21,SMD,100uf,PANASONIC_D,100uf-panasonic_d,55.08,59.69,270.00,90.00
C3X11,SMD,2.2uf,0603-CAP,2.2uf-0603-cap,24.77,40.64,0.00,0.00
C3X21,SMD,2.2uf,0603-CAP,2.2uf-0603-cap,74.77,40.64,0.00,0.00
C4X11,SMD,0.1uf,0603-RES,0.1uf-0603-res,3.81,19.05,270.00,90.00
C4X21,SMD,0.1uf,0603-RES,0.1uf-0603-res,53.81,19.05,270.00,90.00
CON1X11,PTH,RJ12/6,RJ25-INVERTED,rj12/6-rj25-inverted,0.00,0.00,180.00,-180.00
CON1X21,PTH,RJ12/6,RJ25-INVERTED,rj12/6-rj25-inverted,0.00,0.00,180.00,-180.00
D1X11,SMD,BAV99,SOT23,bav99-sot23,28.07,34.54,270.00,90.00
D1X21,SMD,BAV99,SOT23,bav99-sot23,78.07,34.54,270.00,90.00
FEEDBACKX11,PTH,DPDT,8X8-SQ-PB,dpdt-8x8-sq-pb,0.00,0.00,270.00,90.00
FEEDBACKX21,PTH,DPDT,8X8-SQ-PB,dpdt-8x8-sq-pb,0.00,0.00,270.00,90.00
FID1X11,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,1.91,76.84,270.00,90.00
FID1X21,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,51.91,76.84,270.00,90.00
FID2X11,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,48.26,12.07,270.00,90.00
FID2X21,SMD,FIDUCIAL,FIDUCIAL_1MM,fiducial-fiducial_1mm,98.26,12.07,270.00,90.00
FROGX11,PTH,DPDT,8X8-SQ-PB,dpdt-8x8-sq-pb,0.00,0.00,90.00,-90.00
FROGX21,PTH,DPDT,8X8-SQ-PB,dpdt-8x8-sq-pb,0.00,0.00,90.00,-90.00
IC1X11,SMD,TC4428A,SO-08,tc4428a-so-08,7.62,46.36,270.00,90.00
IC1X21,SMD,TC4428A,SO-08,tc4428a-so-08,57.62,46.36,270.00,90.00
IC2X11,SMD,NE555S,SO08,ne555s-so08,24.77,46.36,270.00,90.00
IC2X21,SMD,NE555S,SO08,ne555s-so08,74.77,46.36,270.00,90.00
J1X11,PTH,0.156,KK-156-8-F,0.156-kk-156-8-f,0.00,0.00,180.00,-180.00
J1X21,PTH,0.156,KK-156-8-F,0.156-kk-156-8-f,0.00,0.00,180.00,-180.00
LEDNX11,SMD,G,0603-LED,g-0603-led,13.34,52.71,90.00,-90.00
LEDNX21,SMD,G,0603-LED,g-0603-led,63.34,52.71,90.00,-90.00
LEDOX11,SMD,Y,0603-LED,y-0603-led,19.69,52.71,90.00,-90.00
LEDOX21,SMD,Y,0603-LED,y-0603-led,69.69,52.71,90.00,-90.00
LEDRX11,SMD,R,0603-LED,r-0603-led,10.79,52.71,90.00,-90.00
LEDRX21,SMD,R,0603-LED,r-0603-led,60.80,52.71,90.00,-90.00
LMP1X11,PTH,12v,BULB-3156,12v-bulb-3156,0.00,0.00,90.00,-90.00
LMP1X21,PTH,12v,BULB-3156,12v-bulb-3156,0.00,0.00,90.00,-90.00
MOTORX11,PTH,DPDT,8X8-SQ-PB,dpdt-8x8-sq-pb,0.00,0.00,270.00,90.00
MOTORX21,PTH,DPDT,8X8-SQ-PB,dpdt-8x8-sq-pb,0.00,0.00,270.00,90.00
OSHW1X11,PTH,OSHW,OSHW-LOGO-M,oshw-oshw-logo-m,0.00,0.00,0.00,0.00
OSHW1X21,PTH,OSHW,OSHW-LOGO-M,oshw-oshw-logo-m,0.00,0.00,0.00,0.00
Q1X11,SMD,NPN,SOT23,npn-sot23,22.99,34.54,270.00,90.00
Q1X21,SMD,NPN,SOT23,npn-sot23,72.99,34.54,270.00,90.00
R1X11,SMD,10k,0603-RES,10k-0603-res,17.02,40.64,0.00,0.00
R1X21,SMD,10k,0603-RES,10k-0603-res,67.02,40.64,0.00,0.00
R2X11,SMD,10k,0603-RES,10k-0603-res,17.02,38.10,0.00,0.00
R2X21,SMD,10k,0603-RES,10k-0603-res,67.02,38.10,0.00,0.00
R3X11,SMD,10k,0603-RES,10k-0603-res,24.77,52.71,90.00,-90.00
R3X21,SMD,10k,0603-RES,10k-0603-res,74.77,52.71,90.00,-90.00
