# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
GYR+,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,180.00,-180.00
LED1,SMD,R,0603-LED,r-0603-led,6.35,16.51,0.00,0.00
LED2,SMD,Y,0603-LED,y-0603-led,6.35,19.05,0.00,0.00
LED3,SMD,G,0603-LED,g-0603-led,6.35,21.59,0.00,0.00
