# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
C1, SMD, 0.1uF, 0603-CAP, 0.1uf-0603-cap, 35.56, 25.65, 0.00, 0.00
IC1, SMD, PCA9685PW, TSSOP28, pca9685pw-tssop28, 35.56, 19.69, 90.00, -90.00
R1, SMD, 10k, 0805-RES, 10k-0805-res, 42.04, 8.51, 180.00, -180.00
R2, SMD, 10k, 0805-RES, 10k-0805-res, 42.04, 10.79, 180.00, -180.00
R3, SMD, 10k, 0805-RES, 10k-0805-res, 58.42, 8.51, 180.00, -180.00
R4, SMD, 10k, 0805-RES, 10k-0805-res, 58.42, 10.79, 180.00, -180.00
R5, SMD, 10k, 0805-RES, 10k-0805-res, 58.42, 17.91, 180.00, -180.00
R6, SMD, 10k, 0805-RES, 10k-0805-res, 58.42, 15.75, 180.00, -180.00
