# name, smd?, value, package, component, x, y, angle
C1, PTH, Electret Mic, E2-4, electret mic-e2-4, 0.00, 0.00, 270.00
U$1, PTH, , MRCSLOGOTOP, -mrcslogotop, 0.00, 0.00, 0.00
U$2, PTH, , CA-PROP65WARNING, -ca-prop65warning, 0.00, 0.00, 90.00
U$3, PTH, , MRCSLOGOBTM, -mrcslogobtm, 0.00, 0.00, 0.00
