# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
R10X11,SMD,2k2,0603-RES,2k2-0603-res,19.42,39.62,0.00,0.00
R10X12,SMD,2k2,0603-RES,2k2-0603-res,19.42,83.27,0.00,0.00
R10X21,SMD,2k2,0603-RES,2k2-0603-res,69.42,39.62,0.00,0.00
R10X22,SMD,2k2,0603-RES,2k2-0603-res,69.42,83.27,0.00,0.00
U$1X11,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
U$1X12,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
U$1X21,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
U$1X22,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
U$2X11,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
U$2X12,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
U$2X21,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
U$2X22,PTH,MOUNTINGHOLE,MOUNTINGHOLE,mountinghole-mountinghole,0.00,0.00,0.00,0.00
