# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
BOARD1,SMD,,BOARD-DINRAIL-3.17INX5CM,-board-dinrail-3.17inx5cm,49.85,50.48,0.00,0.00
C1,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,60.33,29.21,0.00,0.00
C4,SMD,0.1uF,0603-CAP,0.1uf-0603-cap,9.53,29.21,0.00,0.00
