# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
FID2X12, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 76.84, 47.62, 0.00, 0.00
FID2X13, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 76.84, 67.95, 0.00, 0.00
FID2X14, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 76.84, 88.27, 0.00, 0.00
R1X11, SMD, 82R, 0805-RES, 82r-0805-res, 46.10, 12.45, 180.00, -180.00
R1X12, SMD, 82R, 0805-RES, 82r-0805-res, 46.10, 32.77, 180.00, -180.00
R1X13, SMD, 82R, 0805-RES, 82r-0805-res, 46.10, 53.09, 180.00, -180.00
R1X14, SMD, 82R, 0805-RES, 82r-0805-res, 46.10, 73.41, 180.00, -180.00
R2X11, SMD, 82R, 0805-RES, 82r-0805-res, 46.10, 15.88, 180.00, -180.00
R2X12, SMD, 82R, 0805-RES, 82r-0805-res, 46.10, 36.20, 180.00, -180.00
R2X13, SMD, 82R, 0805-RES, 82r-0805-res, 46.10, 56.52, 180.00, -180.00
R2X14, SMD, 82R, 0805-RES, 82r-0805-res, 46.10, 76.84, 180.00, -180.00
R3X11, SMD, 82R, 0805-RES, 82r-0805-res, 46.10, 19.05, 180.00, -180.00
R3X12, SMD, 82R, 0805-RES, 82r-0805-res, 46.10, 39.37, 180.00, -180.00
R3X13, SMD, 82R, 0805-RES, 82r-0805-res, 46.10, 59.69, 180.00, -180.00
R3X14, SMD, 82R, 0805-RES, 82r-0805-res, 46.10, 80.01, 180.00, -180.00
R4X11, SMD, 82R, 0805-RES, 82r-0805-res, 46.10, 22.35, 180.00, -180.00
R4X12, SMD, 82R, 0805-RES, 82r-0805-res, 46.10, 42.67, 180.00, -180.00
R4X13, SMD, 82R, 0805-RES, 82r-0805-res, 46.10, 62.99, 180.00, -180.00
R4X14, SMD, 82R, 0805-RES, 82r-0805-res, 46.10, 83.31, 180.00, -180.00
R5X11, SMD, 1K0, 0603-RES, 1k0-0603-res, 60.20, 12.45, 180.00, -180.00
R5X12, SMD, 1K0, 0603-RES, 1k0-0603-res, 60.20, 32.77, 180.00, -180.00
R5X13, SMD, 1K0, 0603-RES, 1k0-0603-res, 60.20, 53.09, 180.00, -180.00
R5X14, SMD, 1K0, 0603-RES, 1k0-0603-res, 60.20, 73.41, 180.00, -180.00
R6X11, SMD, 1K0, 0603-RES, 1k0-0603-res, 60.20, 15.75, 180.00, -180.00
R6X12, SMD, 1K0, 0603-RES, 1k0-0603-res, 60.20, 36.07, 180.00, -180.00
R6X13, SMD, 1K0, 0603-RES, 1k0-0603-res, 60.20, 56.39, 180.00, -180.00
R6X14, SMD, 1K0, 0603-RES, 1k0-0603-res, 60.20, 76.71, 180.00, -180.00
R7X11, SMD, 1K0, 0603-RES, 1k0-0603-res, 60.20, 19.05, 180.00, -180.00
R7X12, SMD, 1K0, 0603-RES, 1k0-0603-res, 60.20, 39.37, 180.00, -180.00
R7X13, SMD, 1K0, 0603-RES, 1k0-0603-res, 60.20, 59.69, 180.00, -180.00
R7X14, SMD, 1K0, 0603-RES, 1k0-0603-res, 60.20, 80.01, 180.00, -180.00
R8X11, SMD, 1K0, 0603-RES, 1k0-0603-res, 60.20, 22.35, 180.00, -180.00
R8X12, SMD, 1K0, 0603-RES, 1k0-0603-res, 60.20, 42.67, 180.00, -180.00
R8X13, SMD, 1K0, 0603-RES, 1k0-0603-res, 60.20, 62.99, 180.00, -180.00
R8X14, SMD, 1K0, 0603-RES, 1k0-0603-res, 60.20, 83.31, 180.00, -180.00
