# name, smd?, value, package, component, x, y, angle
R7X22, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 270.00
R7X31, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 270.00
R7X32, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 270.00
R8X11, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 270.00
R8X12, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 270.00
R8X21, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 270.00
R8X22, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 270.00
R8X31, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 270.00
R8X32, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 270.00
U$1X11, PTH, , OSHW-LOGO-M, -oshw-logo-m, 0.00, 0.00, 0.00
U$1X12, PTH, , OSHW-LOGO-M, -oshw-logo-m, 0.00, 0.00, 0.00
U$1X21, PTH, , OSHW-LOGO-M, -oshw-logo-m, 0.00, 0.00, 0.00
U$1X22, PTH, , OSHW-LOGO-M, -oshw-logo-m, 0.00, 0.00, 0.00
U$1X31, PTH, , OSHW-LOGO-M, -oshw-logo-m, 0.00, 0.00, 0.00
U$1X32, PTH, , OSHW-LOGO-M, -oshw-logo-m, 0.00, 0.00, 0.00
