# name, smd?, value, package, component, x, y, angle
PADL1, SMD, , SMD1.27-2.54, -smd1.27-2.54, 14.35, 20.70, 270.00
PADL2, SMD, , SMD1.27-2.54, -smd1.27-2.54, 7.37, 33.91, 70.00
PADN2, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 180.00
PADN3, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 90.00
PADN4, SMD, , SMD1.27-2.54, -smd1.27-2.54, 1.27, 24.13, 0.00
PADN6, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 290.00
PADS2, SMD, , SMD1.27-2.54, -smd1.27-2.54, 1.27, 30.48, 0.00
PADS4, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 180.00
R1, PTH, 1k0, 0204/5, 1k0-0204/5, 0.00, 0.00, 90.00
