# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
R3X54, SMD, 2K0, 0805-RES, 2k0-0805-res, 77.47, 68.17, 270.00, 90.00
R3X55, SMD, 2K0, 0805-RES, 2k0-0805-res, 77.47, 84.17, 270.00, 90.00
R4X1, PTH, , BOARD-SEEED10X10, -board-seeed10x10, 0.00, 0.00, 0.00, 0.00
R4X11, SMD, 2K0, 0805-RES, 2k0-0805-res, 2.54, 20.16, 270.00, 90.00
R4X12, SMD, 2K0, 0805-RES, 2k0-0805-res, 2.54, 36.16, 270.00, 90.00
R4X13, SMD, 2K0, 0805-RES, 2k0-0805-res, 2.54, 52.16, 270.00, 90.00
R4X14, SMD, 2K0, 0805-RES, 2k0-0805-res, 2.54, 68.17, 270.00, 90.00
R4X15, SMD, 2K0, 0805-RES, 2k0-0805-res, 2.54, 84.17, 270.00, 90.00
R4X21, SMD, 2K0, 0805-RES, 2k0-0805-res, 20.32, 20.16, 270.00, 90.00
R4X22, SMD, 2K0, 0805-RES, 2k0-0805-res, 20.32, 36.16, 270.00, 90.00
R4X23, SMD, 2K0, 0805-RES, 2k0-0805-res, 20.32, 52.16, 270.00, 90.00
R4X24, SMD, 2K0, 0805-RES, 2k0-0805-res, 20.32, 68.17, 270.00, 90.00
R4X25, SMD, 2K0, 0805-RES, 2k0-0805-res, 20.32, 84.17, 270.00, 90.00
R4X31, SMD, 2K0, 0805-RES, 2k0-0805-res, 38.10, 20.16, 270.00, 90.00
R4X32, SMD, 2K0, 0805-RES, 2k0-0805-res, 38.10, 36.16, 270.00, 90.00
R4X33, SMD, 2K0, 0805-RES, 2k0-0805-res, 38.10, 52.16, 270.00, 90.00
R4X34, SMD, 2K0, 0805-RES, 2k0-0805-res, 38.10, 68.17, 270.00, 90.00
R4X35, SMD, 2K0, 0805-RES, 2k0-0805-res, 38.10, 84.17, 270.00, 90.00
R4X41, SMD, 2K0, 0805-RES, 2k0-0805-res, 55.88, 20.16, 270.00, 90.00
R4X42, SMD, 2K0, 0805-RES, 2k0-0805-res, 55.88, 36.16, 270.00, 90.00
R4X43, SMD, 2K0, 0805-RES, 2k0-0805-res, 55.88, 52.16, 270.00, 90.00
R4X44, SMD, 2K0, 0805-RES, 2k0-0805-res, 55.88, 68.17, 270.00, 90.00
R4X45, SMD, 2K0, 0805-RES, 2k0-0805-res, 55.88, 84.17, 270.00, 90.00
R4X51, SMD, 2K0, 0805-RES, 2k0-0805-res, 73.66, 20.16, 270.00, 90.00
R4X52, SMD, 2K0, 0805-RES, 2k0-0805-res, 73.66, 36.16, 270.00, 90.00
R4X53, SMD, 2K0, 0805-RES, 2k0-0805-res, 73.66, 52.16, 270.00, 90.00
R4X54, SMD, 2K0, 0805-RES, 2k0-0805-res, 73.66, 68.17, 270.00, 90.00
R4X55, SMD, 2K0, 0805-RES, 2k0-0805-res, 73.66, 84.17, 270.00, 90.00
